chr	start	end	reps_BP	rps_P
1	1089057	3580038	1665061	4.88e-35
1	6007189	9340509	6655380	1.59e-15
1	10176377	11812856	11147212	4.76e-16
1	13172791	14293937	13778803	4.91e-11
1	14989084	17519410	16992516	3.31e-13
1	19064791	20147426	19638126	2.19e-9
1	21119514	22126943	21622443	6.80e-10
1	22426621	23889485	23007846	7.79e-18
1	31099784	36427000	33351125	7.04e-13
1	36992738	41273456	39096955	1.52e-24
1	41442488	42500057	42000057	1.11e-8
1	45033216	46640056	45720054	5.00e-11
1	46682705	47743529	47230909	1.34e-17
1	48255542	51152581	48967331	1.05e-25
1	53702605	54777438	54264363	3.76e-17
1	56813841	58828345	57324857	2.55e-13
1	60526102	63480007	62114219	1.56e-42
1	63770809	66618774	65513597	2.10e-16
1	67320756	68416665	67908074	6.61e-10
1	71243872	75164605	72299433	1.63e-67
1	75687046	79405956	77984833	4.43e-56
1	81390425	82581171	81924169	3.82e-16
1	83361531	84637804	83911752	1.41e-8
1	85844970	86857820	86357820	1.64e-8
1	90156416	91267680	90765528	9.20e-10
1	91595616	93500505	92623081	2.17e-17
1	94809793	99213699	96602096	4.79e-29
1	100074541	101787209	100574541	5.82e-9
1	103743280	104744352	104243280	7.35e-9
1	106471485	112304634	109539929	1.11e-60
1	114234357	115234357	114734357	2.16e-11
1	115400228	116446281	115900228	2.62e-8
1	116828781	119720628	119004219	3.51e-20
1	147189656	148189656	147689656	3.33e-8
1	149776941	151884857	151143803	3.41e-24
1	154363968	157174988	156080086	4.26e-36
1	161868706	162869063	162369063	1.83e-8
1	170946188	172086263	171474229	8.07e-13
1	173060344	179166701	177925456	1.34e-121
1	185807159	186902168	186307159	9.59e-9
1	189643523	191948496	190325596	4.85e-30
1	192543149	193543149	193043149	2.29e-8
1	194342064	195682785	195173715	3.59e-16
1	196528304	197793054	197189469	1.50e-13
1	198080544	199144825	198644825	3.87e-8
1	201174542	202653655	201861119	2.15e-39
1	202919835	204022264	203522022	4.04e-11
1	205163804	206343486	205813590	3.61e-16
1	208027388	210705802	209919742	1.66e-16
1	218948730	220115188	219458898	2.94e-13
1	220505718	222546411	221785997	7.26e-10
1	225035119	226246593	225746593	2.52e-8
1	229657783	231478674	230978674	3.76e-9
1	232128298	233172852	232632019	9.73e-13
1	234947978	236039720	235538432	5.42e-10
1	240939021	241969707	241469707	3.46e-9
1	242308802	244362697	243669258	2.60e-19
2	1	2719660	635864	3.62e-213
2	5194117	6725670	6021755	8.02e-25
2	9131491	11346004	9640615	8.63e-9
2	12199124	13213880	12708823	1.32e-8
2	14744268	17024816	15703779	4.13e-10
2	19936366	20952746	20452647	2.06e-10
2	21776335	22849016	22318866	8.69e-10
2	23497482	25905333	24922304	7.40e-71
2	26173079	29476186	28753215	1.28e-17
2	34694314	35866168	35308401	5.75e-10
2	35914701	38268279	36819514	1.72e-10
2	39430758	47322270	46812852	1.96e-13
2	47800896	49267759	48727766	5.20e-19
2	49473972	51862626	50001321	7.01e-16
2	52331056	61180195	58708147	2.32e-56
2	61981479	64195235	62621497	7.68e-20
2	66997688	68249617	67614194	1.08e-27
2	68798791	69998908	69419225	9.68e-12
2	76464999	77514151	76965078	1.94e-8
2	78769325	80880328	79553991	8.72e-10
2	80913158	82226824	81630723	1.57e-11
2	85856598	87250104	86579233	4.06e-25
2	94887661	96923555	95852274	1.71e-14
2	97158891	98239212	97716827	1.36e-10
2	98569510	101638283	100276651	1.32e-26
2	102668687	105489472	104835868	6.14e-19
2	106361163	107372542	106861163	3.93e-8
2	108212182	109329490	108730366	8.20e-10
2	110611114	111675424	111119036	5.68e-9
2	112689351	113773767	113200060	9.68e-12
2	118341278	119376005	118859500	9.35e-11
2	127184440	128326200	127753408	2.84e-11
2	134026467	137385620	135859184	2.94e-35
2	139866311	142120724	141544934	2.46e-13
2	142215511	143795732	143201527	2.42e-17
2	144346344	145757661	145219153	7.08e-10
2	146548636	147693149	147090886	1.42e-14
2	153804352	154804352	154304352	4.96e-8
2	156187150	157276371	156741125	1.61e-9
2	157762583	159310586	158456264	9.84e-16
2	159734362	161028780	160400330	1.03e-10
2	161342502	162377681	161842529	7.93e-9
2	162392557	166913853	164672114	4.48e-17
2	167800822	168807426	168301893	1.15e-8
2	171052317	172545410	171712624	5.19e-12
2	173565288	174878496	174306064	1.25e-14
2	175422442	176587221	176085589	1.97e-8
2	179953227	181262023	180705667	3.35e-21
2	185425431	188703881	187412396	5.42e-14
2	192446915	193446915	192946915	2.06e-8
2	196783846	200944824	197977005	3.67e-14
2	201575376	203751937	202075376	3.49e-10
2	203901414	208858608	204511186	3.37e-21
2	209922172	213166711	212549541	2.88e-33
2	214016656	215030256	214516656	7.36e-9
2	215967334	217025666	216467334	1.63e-10
2	217905006	220274127	219296584	6.01e-15
2	220757566	221960419	221460419	1.09e-8
2	225559493	227426502	226229029	3.96e-14
2	227465418	228657003	228047478	8.42e-12
2	229178094	230534691	229827834	1.50e-18
2	235218900	236529441	235904923	5.47e-19
2	241166023	242226432	241671358	1.21e-10
3	3721264	6478270	5967405	3.76e-12
3	7595760	8601987	8096354	2.76e-11
3	8844645	9988511	9456459	7.42e-13
3	10639891	13948687	12347814	3.40e-29
3	15104328	17309932	15606497	5.08e-12
3	17590228	19217009	18181950	1.12e-13
3	19552121	21213127	20457348	2.26e-16
3	21248757	22295935	21764738	5.91e-13
3	22942045	23942045	23442045	1.57e-8
3	24535768	25913457	25068924	8.23e-33
3	25925476	27001929	26501929	2.72e-9
3	28064206	29547508	28594567	6.01e-9
3	34005603	36372145	35100408	2.39e-19
3	37896691	39059746	38454702	4.47e-10
3	40689163	43329066	42279697	5.80e-23
3	43360678	46223640	44415081	1.60e-15
3	46293760	54349417	49892782	1.40e-56
3	55659472	56724033	56159472	2.38e-9
3	57846341	58993627	58432200	1.42e-10
3	59155339	63670954	61254024	1.94e-31
3	64214749	65664408	64991301	1.74e-12
3	65768033	66958931	66384219	2.13e-14
3	68014719	72132604	70491614	4.28e-12
3	72740259	73827663	73322065	1.27e-10
3	76781856	79120606	77624623	5.70e-14
3	79270123	90954043	85758440	5.04e-31
3	93286912	95143750	94267527	1.56e-35
3	101890172	103136558	102598668	6.08e-14
3	104382695	105597155	104899129	3.80e-21
3	107020936	109265689	108305118	4.98e-14
3	114068603	115581650	114788886	9.45e-14
3	116633025	118977159	117133797	3.34e-13
3	119314499	120597259	119839004	6.88e-10
3	122793798	124130644	123334563	2.66e-16
3	127282330	128286896	127786896	3.30e-8
3	128592456	129851532	129247459	1.29e-11
3	131157659	132724676	132039233	1.20e-36
3	135400743	138914570	136396103	2.09e-23
3	140850940	142180111	141561431	1.96e-29
3	147127269	148127269	147627269	3.40e-8
3	148483573	149612193	149017216	3.88e-9
3	153349516	154889091	154317161	1.23e-16
3	156030804	159094365	156661848	7.37e-16
3	159489732	160530580	160016881	1.13e-9
3	161176264	162620110	161751032	6.91e-17
3	164019362	165596097	164788458	4.16e-9
3	165959962	166966534	166459962	1.70e-8
3	167897115	168987444	168466091	1.87e-14
3	170208020	171913163	171007094	4.42e-24
3	172808839	174578327	173395251	1.63e-22
3	176102499	177710869	177199532	7.85e-13
3	177891624	179253301	178717364	5.49e-14
3	180151962	183095569	182562298	8.78e-17
3	183131222	184848012	184277553	2.84e-26
3	185055722	186631601	186108951	1.73e-72
3	187492638	189293325	188000860	1.66e-9
3	190878004	191891121	191385701	4.72e-9
3	192226953	193233527	192726953	3.41e-8
3	193375244	194445775	193912292	8.01e-10
3	194613076	197589974	196409940	4.29e-12
4	318810	1321533	821533	3.56e-8
4	2359363	3935581	3240118	2.36e-13
4	4251785	5260656	4759413	1.22e-9
4	5612950	6612950	6112950	2.74e-8
4	9951362	10951362	10451362	1.49e-8
4	12417189	13417189	12917189	4.41e-8
4	14490530	15633515	15125114	6.27e-10
4	16080187	17502278	16892316	6.76e-13
4	17533981	19074092	18376026	3.87e-14
4	19587388	21041280	20099686	5.92e-14
4	24616244	25954111	25407216	1.38e-59
4	25999750	27446405	26946269	5.30e-9
4	30150903	31659927	31026568	1.07e-14
4	31721329	32757908	32252748	1.24e-9
4	34269672	36969129	34830044	1.99e-11
4	37833307	39251577	38697303	1.11e-17
4	41291379	42724907	41797110	6.79e-9
4	43759153	46870908	45180510	5.55e-121
4	48488868	49820654	48988868	2.39e-8
4	51452498	55213061	54624774	2.81e-9
4	56384559	57475047	56926516	4.75e-9
4	58833118	59886891	59376810	2.81e-11
4	60236576	61291263	60791263	2.25e-9
4	64313637	65537879	64874669	1.03e-9
4	66731183	68080908	67305859	1.89e-11
4	75606735	76708415	76107297	2.13e-10
4	79354270	80542798	79899394	6.43e-10
4	87617930	89321028	88124179	7.23e-12
4	89822714	90837976	90335857	4.25e-8
4	92834499	95760257	94099675	2.71e-17
4	98015763	99841085	99318162	4.11e-21
4	100499436	103951408	102267552	4.66e-81
4	104105243	105271209	104682823	9.86e-13
4	111175106	112902274	112402274	8.77e-18
4	113593286	114794039	114217955	8.00e-11
4	117798086	120836033	119231402	1.06e-10
4	122411621	123411621	122911621	3.18e-8
4	127799808	130639624	129838492	5.56e-23
4	135545624	136793031	136162038	8.66e-31
4	138328920	140380512	139850661	5.82e-10
4	142207997	145752888	144801710	5.77e-15
4	145856676	147432585	146432937	8.26e-12
4	151358584	152670171	152152804	1.64e-11
4	152977690	154021969	153521353	1.23e-9
4	160519769	161767603	161171391	7.45e-13
4	162938526	164981366	163438526	7.73e-10
4	169619104	171232429	170714320	2.28e-9
4	172063018	173287853	172656928	3.25e-13
4	174301299	175314060	174804963	1.06e-8
4	178750830	179750830	179250830	4.87e-8
5	2750458	4074450	3574450	1.99e-13
5	11424125	12484963	11949454	8.97e-9
5	13463565	14533498	13997516	4.06e-12
